geoid,name,error,estimate
15000US060371011101,"Block Group 1, Los Angeles, CA",30142.0,74125.0
15000US060371011102,"Block Group 2, Los Angeles, CA",21278.0,41625.0
15000US060371011103,"Block Group 3, Los Angeles, CA",35271.0,74886.0
15000US060371011221,"Block Group 1, Los Angeles, CA",11492.0,90611.0
15000US060371011222,"Block Group 2, Los Angeles, CA",44357.0,79868.0
15000US060371012101,"Block Group 1, Los Angeles, CA",8340.0,31758.0
15000US060371012102,"Block Group 2, Los Angeles, CA",6626.0,50179.0
15000US060371012201,"Block Group 1, Los Angeles, CA",6456.0,44798.0
15000US060371012202,"Block Group 2, Los Angeles, CA",8660.0,42778.0
15000US060371013001,"Block Group 1, Los Angeles, CA",23420.0,80000.0
15000US060371013002,"Block Group 2, Los Angeles, CA",33539.0,85417.0
15000US060371013003,"Block Group 3, Los Angeles, CA",31122.0,67344.0
15000US060371013004,"Block Group 4, Los Angeles, CA",77311.0,130694.0
15000US060371014001,"Block Group 1, Los Angeles, CA",12088.0,54067.0
15000US060371014002,"Block Group 2, Los Angeles, CA",23154.0,90278.0
15000US060371014003,"Block Group 3, Los Angeles, CA",13856.0,79125.0
15000US060371021031,"Block Group 1, Los Angeles, CA",8001.0,76833.0
15000US060371021041,"Block Group 1, Los Angeles, CA",27712.0,86563.0
15000US060371021042,"Block Group 2, Los Angeles, CA",24351.0,73167.0
15000US060371021051,"Block Group 1, Los Angeles, CA",41025.0,59432.0
15000US060371021052,"Block Group 2, Los Angeles, CA",31003.0,53500.0
15000US060371021071,"Block Group 1, Los Angeles, CA",29769.0,109800.0
15000US060371021072,"Block Group 2, Los Angeles, CA",27187.0,108194.0
15000US060371031011,"Block Group 1, Los Angeles, CA",20907.0,110000.0
15000US060371031012,"Block Group 2, Los Angeles, CA",35966.0,75536.0
15000US060371031021,"Block Group 1, Los Angeles, CA",18796.0,81250.0
15000US060371031022,"Block Group 2, Los Angeles, CA",26213.0,72463.0
15000US060371031023,"Block Group 3, Los Angeles, CA",28394.0,71094.0
15000US060371031024,"Block Group 4, Los Angeles, CA",29310.0,56786.0
15000US060371031025,"Block Group 5, Los Angeles, CA",19388.0,85486.0
15000US060371032001,"Block Group 1, Los Angeles, CA",24958.0,100417.0
15000US060371032002,"Block Group 2, Los Angeles, CA",38520.0,84554.0
15000US060371032003,"Block Group 3, Los Angeles, CA",30734.0,66351.0
15000US060371033001,"Block Group 1, Los Angeles, CA",39897.0,96765.0
15000US060371033002,"Block Group 2, Los Angeles, CA",65403.0,130938.0
15000US060371034001,"Block Group 1, Los Angeles, CA",33073.0,61349.0
15000US060371034002,"Block Group 2, Los Angeles, CA",23859.0,110447.0
15000US060371034003,"Block Group 3, Los Angeles, CA",59629.0,145949.0
15000US060371034004,"Block Group 4, Los Angeles, CA",68785.0,87542.0
15000US060371034005,"Block Group 5, Los Angeles, CA",39920.0,82857.0
15000US060371041031,"Block Group 1, Los Angeles, CA",32535.0,81181.0
15000US060371041032,"Block Group 2, Los Angeles, CA",50699.0,106136.0
15000US060371041051,"Block Group 1, Los Angeles, CA",43466.0,92368.0
15000US060371041052,"Block Group 2, Los Angeles, CA",14970.0,41250.0
15000US060371041081,"Block Group 1, Los Angeles, CA",5430.0,51921.0
15000US060371041082,"Block Group 2, Los Angeles, CA",12099.0,46375.0
15000US060371041083,"Block Group 3, Los Angeles, CA",33974.0,95714.0
15000US060371041241,"Block Group 1, Los Angeles, CA",30474.0,50605.0
15000US060371041242,"Block Group 2, Los Angeles, CA",28963.0,95278.0
15000US060371041243,"Block Group 3, Los Angeles, CA",28024.0,127782.0
15000US060371042011,"Block Group 1, Los Angeles, CA",15761.0,67863.0
15000US060371042012,"Block Group 2, Los Angeles, CA",9991.0,57132.0
15000US060371042013,"Block Group 3, Los Angeles, CA",31798.0,54716.0
15000US060371042031,"Block Group 1, Los Angeles, CA",13048.0,43594.0
15000US060371042032,"Block Group 2, Los Angeles, CA",17692.0,54904.0
15000US060371042041,"Block Group 1, Los Angeles, CA",6455.0,37022.0
15000US060371042042,"Block Group 2, Los Angeles, CA",10779.0,82072.0
15000US060371043101,"Block Group 1, Los Angeles, CA",21471.0,106528.0
15000US060371043102,"Block Group 2, Los Angeles, CA",22608.0,55417.0
15000US060371043103,"Block Group 3, Los Angeles, CA",18224.0,63750.0
15000US060371043201,"Block Group 1, Los Angeles, CA",26011.0,57061.0
15000US060371043202,"Block Group 2, Los Angeles, CA",4042.0,31728.0
15000US060371043203,"Block Group 3, Los Angeles, CA",13734.0,56739.0
15000US060371043204,"Block Group 4, Los Angeles, CA",,
15000US060371044011,"Block Group 1, Los Angeles, CA",14834.0,75625.0
15000US060371044012,"Block Group 2, Los Angeles, CA",29342.0,52461.0
15000US060371044031,"Block Group 1, Los Angeles, CA",31756.0,78611.0
15000US060371044032,"Block Group 2, Los Angeles, CA",4623.0,54315.0
